*Date,*Amount,*Payee,*Description,*Reference,AccountCode,TaxType,Notes,MORGAN_ACCOUNT,MORGAN_TAX,MORGAN_NOTES
13/10/2025,-0.64,"Gfg Huriidamu SETAGAYAKU","Wise Charges for: CARD-3003003437","",,,"REVIEW - No rule matched",,,
11/10/2025,-0.12,"Makotoyashibuyacentergait OTAKU","Wise Charges for: CARD-2996186249","",,,"REVIEW - No rule matched",,,
10/10/2025,-1.11,"Ruby Jack S Steakhouse An MINATOKU","Wise Charges for: CARD-2993374990","",,,"REVIEW - No rule matched",,,
09/10/2025,-0.35,"Sq*Mooneyes Area-1 YOKOHAMA","Wise Charges for: CARD-2988579898","",,,"REVIEW - No rule matched",,,
09/10/2025,-0.16,"Nissan Boutique YOKOHAMASI","Wise Charges for: CARD-2988434054","",,,"REVIEW - No rule matched",,,
07/10/2025,-27.23,"A.saily London","Card transaction of 17.99 USD issued by A.saily London (fee: 0.09 AUD)","",,,"REVIEW - No rule matched",,,
07/10/2025,-0.09,"A.saily London","Wise Charges for: CARD-2981532325","",,,"REVIEW - No rule matched",,,
07/10/2025,-307.30,"Jb Hi Fi KEDRON","Card transaction of 307.30 AUD issued by Jb Hi Fi KEDRON","",,,"REVIEW - No rule matched",,,
06/10/2025,-80.06,"Modi Corporation RED HILL","Card transaction of 80.06 AUD issued by Modi Corporation RED HILL","",,,"REVIEW - No rule matched",,,
03/10/2025,-114.80,"Woka Woka Fortitude Va Fortitude Val","Card transaction of 114.80 AUD issued by Woka Woka Fortitude Va Fortitude Val","",,,"REVIEW - No rule matched",,,
03/10/2025,-6.00,"Wise Card Acquisition","Wise Card Acquisition","",,,"REVIEW - No rule matched",,,
02/10/2025,-17.19,"Zlr*Yard Dogs Fortitude Val","Card transaction of 17.19 AUD issued by Zlr*Yard Dogs Fortitude Val","",,,"REVIEW - No rule matched",,,
01/10/2025,-139.15,"Makeyourowngearaus BLACKHEATH","Card transaction of 139.15 AUD issued by Makeyourowngearaus BLACKHEATH","",,,"REVIEW - No rule matched",,,
29/09/2025,-45.12,"Collection House Newstead","Card transaction of 45.12 AUD issued by Collection House Newstead","",,,"REVIEW - No rule matched",,,
28/09/2025,-20.14,"Hsw Fellinis BRISBANE","Card transaction of 20.14 AUD issued by Hsw Fellinis BRISBANE","",,,"REVIEW - No rule matched",,,
28/09/2025,-71.60,"Hsw Fellinis BRISBANE","Card transaction of 71.60 AUD issued by Hsw Fellinis BRISBANE","",,,"REVIEW - No rule matched",,,
27/09/2025,-19.21,"Cebeci Pty  Ltd WEST END","Card transaction of 19.21 AUD issued by Cebeci Pty  Ltd WEST END","",,,"REVIEW - No rule matched",,,
26/09/2025,-56.01,"Nosq Pty Ltd KELVIN GROVE","Card transaction of 56.01 AUD issued by Nosq Pty Ltd KELVIN GROVE","",,,"REVIEW - No rule matched",,,
22/09/2025,-129.95,"Apple R384 Chermside CHERMSIDE","Card transaction of 129.95 AUD issued by Apple R384 Chermside CHERMSIDE","",,,"REVIEW - No rule matched",,,
21/09/2025,-10.10,"Red Hill Cinema RED HILL","Card transaction of 10.10 AUD issued by Red Hill Cinema RED HILL","",,,"REVIEW - No rule matched",,,
